"Age profile of permanent school teachers, 2020",,,,,,,,,
Age group,Primary,Secondary,All school teachers,,,,,,
20-24,1.90%,1.60%,1.80%,,,,,,
25-29,9.70%,9.30%,9.50%,,,,,,
30-34,13.70%,13.90%,13.80%,,,,,,
35-39,14.50%,12.30%,13.50%,,,,,,
40-44,13.50%,11.40%,12.60%,,,,,,
45-49,13.80%,15.00%,14.30%,,,,,,
50-54,11.50%,13.50%,12.40%,,,,,,
55-59,10.20%,12.40%,11.20%,,,,,,
60-64,7.60%,7.10%,7.40%,,,,,,
65 +,3.50%,3.70%,3.60%,,,,,,
Total,100.00%,100.00%,100.00%,,,,,,
"Source: Personnel System, March 2020",,,,,,,,,
Totals may differ from 100 due to rounding,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Age profile: School teachers in NSW government schools, 2020",,,,,,,,,
,,,,,,,,,
Principal,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,0.00%,0.10%,,,,,,,
30-34,0.90%,0.80%,,,,,,,
35-39,3.80%,2.60%,,,,,,,
40-44,6.20%,5.80%,,,,,,,
45-49,13.80%,8.20%,,,,,,,
50-54,13.20%,8.20%,,,,,,,
55-59,13.80%,6.00%,,,,,,,
60-64,8.80%,2.30%,,,,,,,
65 +,4.10%,1.40%,,,,,,,
,,,,,,,,,
Executive,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,1.20%,0.40%,,,,,,,
30-34,6.60%,2.80%,,,,,,,
35-39,10.10%,4.50%,,,,,,,
40-44,11.60%,4.10%,,,,,,,
45-49,13.80%,5.60%,,,,,,,
50-54,11.80%,4.50%,,,,,,,
55-59,9.70%,3.70%,,,,,,,
60-64,5.70%,1.20%,,,,,,,
65+,2.20%,0.50%,,,,,,,
,,,,,,,,,
Teacher,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,1.90%,0.40%,,,,,,,
25-29,9.50%,2.50%,,,,,,,
30-34,12.00%,3.50%,,,,,,,
35-39,10.70%,2.90%,,,,,,,
40-44,9.20%,2.60%,,,,,,,
45-49,9.80%,2.90%,,,,,,,
50-54,8.50%,2.50%,,,,,,,
55-59,7.70%,2.40%,,,,,,,
60-64,5.80%,1.50%,,,,,,,
65+,2.80%,0.80%,,,,,,,
,,,,,,,,,
All,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,1.50%,0.30%,,,,,,,
25-29,7.50%,2.00%,,,,,,,
30-34,10.60%,3.20%,,,,,,,
35-39,10.30%,3.20%,,,,,,,
40-44,9.50%,3.00%,,,,,,,
45-49,10.70%,3.60%,,,,,,,
50-54,9.30%,3.10%,,,,,,,
55-59,8.30%,2.80%,,,,,,,
60-64,5.90%,1.50%,,,,,,,
65+,2.80%,0.80%,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Age profile: Teachers in Coastal NSW schools, 2020",,,,,,,,,
,,,,,,,,,
Principal,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,0.00%,0.00%,,,,,,,
30-34,0.90%,0.70%,,,,,,,
35-39,4.30%,2.70%,,,,,,,
40-44,7.00%,7.90%,,,,,,,
45-49,13.80%,9.00%,,,,,,,
50-54,10.90%,9.00%,,,,,,,
55-59,14.80%,5.60%,,,,,,,
60-64,6.90%,2.70%,,,,,,,
65+,2.90%,1.00%,,,,,,,
,,,,,,,,,
Executive,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,0.90%,0.30%,,,,,,,
30-34,4.40%,2.80%,,,,,,,
35-39,9.20%,5.30%,,,,,,,
40-44,10.60%,5.00%,,,,,,,
45-49,12.70%,7.20%,,,,,,,
50-54,12.10%,5.70%,,,,,,,
55-59,9.70%,4.70%,,,,,,,
60-64,6.20%,1.00%,,,,,,,
65+,1.60%,0.70%,,,,,,,
,,,,,,,,,
Teacher,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,1.20%,0.30%,,,,,,,
25-29,6.00%,1.90%,,,,,,,
30-34,9.90%,3.50%,,,,,,,
35-39,10.70%,3.80%,,,,,,,
40-44,9.20%,3.60%,,,,,,,
45-49,10.60%,4.00%,,,,,,,
50-54,8.80%,3.40%,,,,,,,
55-59,8.90%,3.30%,,,,,,,
60-64,6.00%,1.90%,,,,,,,
65+,2.40%,0.70%,,,,,,,
,,,,,,,,,
All,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.90%,0.20%,,,,,,,
25-29,4.70%,1.50%,,,,,,,
30-34,8.40%,3.30%,,,,,,,
35-39,10.10%,4.00%,,,,,,,
40-44,9.30%,4.10%,,,,,,,
45-49,11.20%,4.80%,,,,,,,
50-54,9.50%,4.10%,,,,,,,
55-59,9.30%,3.70%,,,,,,,
60-64,6.10%,1.80%,,,,,,,
65+,2.30%,0.70%,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Age profile: Teachers in Eastern Sydney schools, 2020",,,,,,,,,
,,,,,,,,,
Principal,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,0.00%,0.00%,,,,,,,
30-34,0.20%,0.00%,,,,,,,
35-39,2.10%,1.00%,,,,,,,
40-44,5.10%,4.50%,,,,,,,
45-49,14.80%,6.60%,,,,,,,
50-54,14.80%,7.00%,,,,,,,
55-59,13.30%,5.50%,,,,,,,
60-64,12.70%,2.50%,,,,,,,
65+,7.00%,2.70%,,,,,,,
,,,,,,,,,
Executive,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,1.40%,0.40%,,,,,,,
30-34,7.40%,2.60%,,,,,,,
35-39,9.70%,4.60%,,,,,,,
40-44,11.70%,3.50%,,,,,,,
45-49,12.40%,4.50%,,,,,,,
50-54,11.90%,3.80%,,,,,,,
55-59,11.00%,3.30%,,,,,,,
60-64,6.40%,1.30%,,,,,,,
65+,3.60%,0.50%,,,,,,,
,,,,,,,,,
Teacher,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,2.00%,0.30%,,,,,,,
25-29,10.20%,2.50%,,,,,,,
30-34,12.30%,3.30%,,,,,,,
35-39,9.90%,2.50%,,,,,,,
40-44,9.20%,2.10%,,,,,,,
45-49,9.40%,2.20%,,,,,,,
50-54,8.50%,2.30%,,,,,,,
55-59,8.20%,2.10%,,,,,,,
60-64,6.30%,1.50%,,,,,,,
65+,4.00%,0.90%,,,,,,,
,,,,,,,,,
All,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,1.60%,0.20%,,,,,,,
25-29,8.30%,2.00%,,,,,,,
30-34,11.10%,3.10%,,,,,,,
35-39,9.60%,2.80%,,,,,,,
40-44,9.50%,2.40%,,,,,,,
45-49,10.10%,2.70%,,,,,,,
50-54,9.30%,2.70%,,,,,,,
55-59,8.90%,2.50%,,,,,,,
60-64,6.50%,1.50%,,,,,,,
65+,4.10%,0.90%,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Age profile: Teachers in Inland NSW schools, 2020",,,,,,,,,
,,,,,,,,,
Principal,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,0.00%,0.60%,,,,,,,
30-34,1.40%,1.70%,,,,,,,
35-39,5.70%,3.70%,,,,,,,
40-44,6.00%,5.70%,,,,,,,
45-49,13.10%,8.20%,,,,,,,
50-54,15.30%,9.70%,,,,,,,
55-59,13.40%,4.00%,,,,,,,
60-64,9.10%,0.60%,,,,,,,
65+,1.40%,0.60%,,,,,,,
,,,,,,,,,
Executive,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,0.90%,0.60%,,,,,,,
30-34,4.80%,2.40%,,,,,,,
35-39,10.50%,4.50%,,,,,,,
40-44,12.10%,4.20%,,,,,,,
45-49,14.90%,6.30%,,,,,,,
50-54,11.70%,4.40%,,,,,,,
55-59,10.00%,4.50%,,,,,,,
60-64,5.10%,1.50%,,,,,,,
65+,1.60%,0.20%,,,,,,,
,,,,,,,,,
Teacher,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,2.50%,0.70%,,,,,,,
25-29,9.80%,2.70%,,,,,,,
30-34,11.80%,3.50%,,,,,,,
35-39,10.70%,3.30%,,,,,,,
40-44,8.50%,2.60%,,,,,,,
45-49,9.60%,3.40%,,,,,,,
50-54,9.30%,2.50%,,,,,,,
55-59,6.80%,2.40%,,,,,,,
60-64,5.80%,1.30%,,,,,,,
65+,2.40%,0.70%,,,,,,,
,,,,,,,,,
All,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,1.90%,0.50%,,,,,,,
25-29,7.40%,2.10%,,,,,,,
30-34,9.80%,3.20%,,,,,,,
35-39,10.30%,3.50%,,,,,,,
40-44,9.00%,3.10%,,,,,,,
45-49,10.80%,4.20%,,,,,,,
50-54,10.10%,3.30%,,,,,,,
55-59,7.90%,2.90%,,,,,,,
60-64,5.80%,1.30%,,,,,,,
65+,2.20%,0.60%,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Age profile: Teachers in Isolated NSW schools, 2020",,,,,,,,,
,,,,,,,,,
Principal,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,0.00%,0.00%,,,,,,,
30-34,3.20%,1.60%,,,,,,,
35-39,6.40%,2.10%,,,,,,,
40-44,6.40%,5.30%,,,,,,,
45-49,11.80%,10.20%,,,,,,,
50-54,16.00%,6.40%,,,,,,,
55-59,12.80%,6.40%,,,,,,,
60-64,4.30%,2.10%,,,,,,,
65+,4.80%,0.00%,,,,,,,
,,,,,,,,,
Executive,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,1.00%,0.80%,,,,,,,
30-34,7.90%,3.90%,,,,,,,
35-39,10.00%,2.40%,,,,,,,
40-44,10.60%,3.10%,,,,,,,
45-49,16.30%,6.30%,,,,,,,
50-54,12.20%,5.30%,,,,,,,
55-59,8.50%,3.30%,,,,,,,
60-64,5.70%,0.80%,,,,,,,
65+,1.40%,0.40%,,,,,,,
,,,,,,,,,
Teacher,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,1.90%,1.10%,,,,,,,
25-29,12.00%,3.40%,,,,,,,
30-34,11.90%,4.00%,,,,,,,
35-39,10.80%,2.50%,,,,,,,
40-44,9.60%,2.20%,,,,,,,
45-49,9.80%,2.10%,,,,,,,
50-54,8.90%,2.30%,,,,,,,
55-59,6.40%,2.30%,,,,,,,
60-64,5.40%,1.00%,,,,,,,
65+,2.00%,0.60%,,,,,,,
,,,,,,,,,
All,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,1.40%,0.80%,,,,,,,
25-29,9.00%,2.60%,,,,,,,
30-34,10.50%,3.80%,,,,,,,
35-39,10.30%,2.40%,,,,,,,
40-44,9.60%,2.60%,,,,,,,
45-49,11.20%,3.50%,,,,,,,
50-54,10.10%,3.20%,,,,,,,
55-59,7.30%,2.80%,,,,,,,
60-64,5.40%,1.00%,,,,,,,
65+,2.10%,0.50%,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Age profile: Teachers in Western Sydney schools, 2020",,,,,,,,,
,,,,,,,,,
Principal,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,0.00%,0.00%,,,,,,,
30-34,0.20%,0.50%,,,,,,,
35-39,2.30%,3.50%,,,,,,,
40-44,6.30%,4.00%,,,,,,,
45-49,14.30%,8.00%,,,,,,,
50-54,11.90%,7.70%,,,,,,,
55-59,13.60%,8.90%,,,,,,,
60-64,9.10%,2.80%,,,,,,,
65+,4.70%,2.10%,,,,,,,
,,,,,,,,,
Executive,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,0.00%,0.00%,,,,,,,
25-29,1.40%,0.40%,,,,,,,
30-34,8.70%,3.00%,,,,,,,
35-39,11.50%,4.20%,,,,,,,
40-44,12.50%,3.90%,,,,,,,
45-49,15.40%,4.70%,,,,,,,
50-54,11.30%,3.70%,,,,,,,
55-59,8.30%,2.90%,,,,,,,
60-64,4.50%,1.40%,,,,,,,
65+,1.90%,0.30%,,,,,,,
,,,,,,,,,
Teacher,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,2.30%,0.40%,,,,,,,
25-29,11.60%,2.70%,,,,,,,
30-34,13.90%,3.40%,,,,,,,
35-39,11.40%,2.50%,,,,,,,
40-44,9.50%,2.30%,,,,,,,
45-49,9.60%,2.40%,,,,,,,
50-54,7.70%,1.90%,,,,,,,
55-59,6.60%,2.00%,,,,,,,
60-64,5.00%,1.40%,,,,,,,
65+,2.30%,0.90%,,,,,,,
,,,,,,,,,
All,,,,,,,,,
Age,Female,Male,,,,,,,
20-24,1.80%,0.30%,,,,,,,
25-29,9.40%,2.20%,,,,,,,
30-34,12.60%,3.30%,,,,,,,
35-39,11.20%,2.80%,,,,,,,
40-44,10.00%,2.70%,,,,,,,
45-49,10.80%,3.00%,,,,,,,
50-54,8.50%,2.40%,,,,,,,
55-59,7.10%,2.30%,,,,,,,
60-64,5.00%,1.40%,,,,,,,
65+,2.30%,0.80%,,,,,,,
