,School_code,School_name,latest_year_enrolment_FTE,Level_of_schooling,AECG_region,ASGS_remoteness,Latitude,Longitude,Ratio,teacher_demand
0,1001,Abbotsford Public School,531.0,Primary School,Metropolitan East,Major Cities of Australia,-33.852728,151.131206,16.02857142857143,34.0
1,1002,Aberdeen Public School,191.0,Primary School,Hunter,Inner Regional Australia,-32.166098,150.888095,16.02857142857143,12.0
2,1003,Abermain Public School,270.0,Primary School,Hunter,Major Cities of Australia,-32.80892,151.426499,16.02857142857143,17.0
3,1007,Adaminaby Public School,19.0,Primary School,Lower South Coast,Outer Regional Australia,-35.993292,148.776721,16.02857142857143,2.0
4,1008,Adamstown Public School,317.0,Primary School,Hunter,Major Cities of Australia,-32.932213,151.730971,16.02857142857143,20.0
5,1009,Adelong Public School,61.0,Primary School,Riverina 1,Inner Regional Australia,-35.312333,148.062802,16.02857142857143,4.0
6,1015,Albion Park Public School,469.0,Primary School,Upper South Coast,Major Cities of Australia,-34.570257,150.77262,16.02857142857143,30.0
7,1016,Timbumburi Public School,154.0,Primary School,North Western 2,Outer Regional Australia,-31.203781,150.915629,16.02857142857143,10.0
8,1017,Albury Public School,633.0,Primary School,Riverina 1,Inner Regional Australia,-36.082454,146.919253,16.02857142857143,40.0
9,1019,Albury West Public School,156.0,Primary School,Riverina 1,Inner Regional Australia,-36.07783,146.895548,16.02857142857143,10.0
10,1028,Alma Public School,266.0,Primary School,Western 3,Outer Regional Australia,-31.982217,141.462443,16.02857142857143,17.0
11,1030,Alstonville Public School,375.0,Primary School,Upper North Coast,Inner Regional Australia,-28.838471,153.438172,16.02857142857143,24.0
12,1040,Anna Bay Public School,368.0,Primary School,Hunter,Inner Regional Australia,-32.77637,152.089912,16.02857142857143,23.0
13,1041,Annandale Public School,410.0,Primary School,Metropolitan East,Major Cities of Australia,-33.885782,151.169599,16.02857142857143,26.0
14,1042,Annandale North Public School,397.0,Primary School,Metropolitan East,Major Cities of Australia,-33.877905,151.171835,16.02857142857143,25.0
15,1045,Appin Public School,340.0,Primary School,Dharawal,Inner Regional Australia,-34.198417,150.78766,16.02857142857143,22.0
16,1048,Arcadia Public School,86.0,Primary School,Metropolitan North,Inner Regional Australia,-33.623487,151.051031,16.02857142857143,6.0
17,1057,Armidale City Public School,453.0,Primary School,North Western 2,Inner Regional Australia,-30.519501,151.664056,16.02857142857143,29.0
18,1058,Drummond Memorial Public School,174.0,Primary School,North Western 2,Inner Regional Australia,-30.511469,151.650715,16.02857142857143,11.0
19,1061,Artarmon Public School,1278.0,Primary School,Metropolitan North,Major Cities of Australia,-33.811249,151.186001,16.02857142857143,80.0
20,1064,Ashbury Public School,384.0,Primary School,Metropolitan East,Major Cities of Australia,-33.898833,151.11944,16.02857142857143,24.0
21,1065,Ashfield Public School,471.0,Primary School,Metropolitan East,Major Cities of Australia,-33.889723,151.12821,16.02857142857143,30.0
22,1070,Asquith Public School,455.0,Primary School,Metropolitan North,Major Cities of Australia,-33.685729,151.112177,16.02857142857143,29.0
23,1071,Attunga Public School,28.0,Primary School,North Western 2,Outer Regional Australia,-30.930445,150.846575,16.02857142857143,2.0
24,1073,Auburn North Public School,662.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.841669,151.038618,16.02857142857143,42.0
25,1075,Auburn West Public School,593.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.860931,151.019764,16.02857142857143,37.0
26,1076,Austinmer Public School,296.0,Primary School,Upper South Coast,Major Cities of Australia,-34.305398,150.934991,16.02857142857143,19.0
27,1077,Austral Public School,294.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.934487,150.812638,16.02857142857143,19.0
28,1081,Avoca Public School,3.0,Primary School,Upper South Coast,Inner Regional Australia,-34.612697,150.479766,16.02857142857143,1.0
29,1082,Avoca Beach Public School,475.0,Primary School,Central Coast,Major Cities of Australia,-33.471154,151.430745,16.02857142857143,30.0
30,1084,Awaba Public School,40.0,Primary School,Hunter,Major Cities of Australia,-33.010554,151.538068,16.02857142857143,3.0
31,1085,Colo Vale Public School,183.0,Primary School,Upper South Coast,Inner Regional Australia,-34.401281,150.476178,16.02857142857143,12.0
32,1098,Bald Blair Public School,33.0,Primary School,North Western 2,Outer Regional Australia,-30.229893,151.785056,16.02857142857143,2.0
33,1104,Seaforth Public School,510.0,Primary School,Metropolitan North,Major Cities of Australia,-33.793262,151.251235,16.02857142857143,32.0
34,1106,Balgownie Public School,333.0,Primary School,Upper South Coast,Major Cities of Australia,-34.386984,150.872076,16.02857142857143,21.0
35,1111,Ballimore Public School,14.0,Primary School,Western 1,Outer Regional Australia,-32.193596,148.899631,16.02857142857143,1.0
36,1112,Ballina Public School,273.0,Primary School,Upper North Coast,Inner Regional Australia,-28.869724,153.563707,16.02857142857143,17.0
37,1118,Bangalow Public School,242.0,Primary School,Upper North Coast,Inner Regional Australia,-28.68554,153.525743,16.02857142857143,15.0
